Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRECAM,Europe & Central Asia Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,World,,,,,,,National Currency,Millions,Stock,None,Annual From Jan 1990 To Jan 1995<BR>Monthly From Feb 1995 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Open,High,Low,Close,Percent_Gdp
01/31/1990,FXRECAM,,,,16234.04,26144187884.68
01/31/1992,FXRECAM,,,,20319.99,29702815293.27
01/31/1995,FXRECAM,,,,18792.36,25851090829.93
02/28/1995,FXRECAM,,,,21503.66,29580801338.2
03/31/1995,FXRECAM,,,,23564.13,32415219001.67
04/30/1995,FXRECAM,,,,26814.48,36886455880.87
05/31/1995,FXRECAM,,,,29787.31,40975931516.28
06/30/1995,FXRECAM,,,,33345.09,45870074345.22
07/31/1995,FXRECAM,,,,34957.68,48088380644.24
08/31/1995,FXRECAM,,,,36173.86,49761378588.38
09/30/1995,FXRECAM,,,,36743.07,50544393569.54
10/31/1995,FXRECAM,,,,38856.09,53451099909
11/30/1995,FXRECAM,,,,36411.09,50087716221.21
12/31/1995,FXRECAM,,,,35935.76,54834823030.78
01/31/1996,FXRECAM,,,,33961.92,51822916030.87
02/28/1996,FXRECAM,,,,34770.15,53056204237.89
03/31/1996,FXRECAM,,,,37611.45,57391779238.31
04/30/1996,FXRECAM,,,,37738.38,57585463303.64
05/31/1996,FXRECAM,,,,35727.8,54517494280.88
06/30/1996,FXRECAM,,,,37412.63,57088397328.07
07/31/1996,FXRECAM,,,,36917.43,56332765490.45
08/30/1996,FXRECAM,,,,37149.9,56687494354.12
09/30/1996,FXRECAM,,,,37449.08,57144016836.31
10/31/1996,FXRECAM,,,,37149.15,56686349919.8
11/30/1996,FXRECAM,,,,38233.78,58341400323.74
12/31/1996,FXRECAM,,,,38025.65,58711140721.37
01/31/1997,FXRECAM,,,,44533.85,68759722298.35
02/28/1997,FXRECAM,,,,44218.1,68272208141.91
03/31/1997,FXRECAM,,,,44833.33,69222115772.84
04/30/1997,FXRECAM,,,,47616.55,73519373573.26
05/31/1997,FXRECAM,,,,50470.55,77925914832.09
06/30/1997,FXRECAM,,,,56422.92,87116301655.08
07/31/1997,FXRECAM,,,,57622.89,88969040728.08
08/31/1997,FXRECAM,,,,59586.52,92000861545.21
09/30/1997,FXRECAM,,,,61605.07,95117478173.8
10/31/1997,FXRECAM,,,,62579.83,96622495748.24
11/30/1997,FXRECAM,,,,54645.24,84371585374.42
12/31/1997,FXRECAM,,,,54856.98,90079139685.36
01/31/1998,FXRECAM,,,,52172.59,85671176618.86
02/28/1998,FXRECAM,,,,93552.45,153619907830.47
03/31/1998,FXRECAM,,,,97452.73,160024450459.9
04/30/1998,FXRECAM,,,,98668.67,162021112126.46
05/31/1998,FXRECAM,,,,97251.26,159693622108.21
06/30/1998,FXRECAM,,,,99721.39,163749754715.42
07/31/1998,FXRECAM,,,,106641.7,175113405633.79
08/31/1998,FXRECAM,,,,96170.25,157918525287.51
09/30/1998,FXRECAM,,,,92340.35,151629551722.41
10/30/1998,FXRECAM,,,,44056.34,72343705484.44
10/31/1998,FXRECAM,,,,92729.3,152268235831.17
