Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRCHNM,China Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,China,,,,,,,National Currency,Millions,Stock,None,Monthly From Jul 1980 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
07/31/1980,FXRCHNM,3972.29,0.98
08/31/1980,FXRCHNM,4004.02,0.99
09/30/1980,FXRCHNM,4170.4,1.03
10/31/1980,FXRCHNM,3721.43,0.92
11/30/1980,FXRCHNM,3484.47,0.86
12/31/1980,FXRCHNM,2545.18,0.56
01/31/1981,FXRCHNM,2934.53,0.64
02/28/1981,FXRCHNM,2973.33,0.65
03/31/1981,FXRCHNM,2376.15,0.52
04/30/1981,FXRCHNM,2573.95,0.57
05/31/1981,FXRCHNM,3216.31,0.71
06/30/1981,FXRCHNM,3822.1,0.84
07/31/1981,FXRCHNM,4247.58,0.93
08/31/1981,FXRCHNM,4960.16,1.09
09/30/1981,FXRCHNM,3936.39,0.86
10/31/1981,FXRCHNM,4429.07,0.97
11/30/1981,FXRCHNM,4112.75,0.9
12/31/1981,FXRCHNM,5058.09,1.03
01/31/1982,FXRCHNM,5476.28,1.12
02/28/1982,FXRCHNM,5175.34,1.06
03/31/1982,FXRCHNM,5460.18,1.11
04/30/1982,FXRCHNM,6076.68,1.24
05/31/1982,FXRCHNM,6555.78,1.34
06/30/1982,FXRCHNM,7287.13,1.49
07/31/1982,FXRCHNM,8382.09,1.71
08/31/1982,FXRCHNM,8804.1,1.8
09/30/1982,FXRCHNM,9443.94,1.93
10/31/1982,FXRCHNM,10165.9,2.07
11/30/1982,FXRCHNM,10681.3,2.18
12/31/1982,FXRCHNM,11348.9,2.07
01/31/1983,FXRCHNM,11955.6,2.18
02/28/1983,FXRCHNM,12308.2,2.24
03/31/1983,FXRCHNM,12609.1,2.3
04/30/1983,FXRCHNM,13192.5,2.4
05/31/1983,FXRCHNM,13368.7,2.44
06/30/1983,FXRCHNM,13212.1,2.41
07/31/1983,FXRCHNM,13183.9,2.4
08/31/1983,FXRCHNM,13749.1,2.5
09/30/1983,FXRCHNM,14379.8,2.62
10/31/1983,FXRCHNM,14596.5,2.66
11/30/1983,FXRCHNM,14805.2,2.7
12/31/1983,FXRCHNM,14986.6,2.47
01/31/1984,FXRCHNM,15276.4,2.51
02/29/1984,FXRCHNM,15470.3,2.55
03/31/1984,FXRCHNM,16057.9,2.64
04/30/1984,FXRCHNM,16553.4,2.72
05/31/1984,FXRCHNM,16834.3,2.77
06/30/1984,FXRCHNM,17109,2.82
07/31/1984,FXRCHNM,17612.1,2.9
08/31/1984,FXRCHNM,17204.3,2.83
09/30/1984,FXRCHNM,17302.2,2.85
10/31/1984,FXRCHNM,16967.4,2.79
11/30/1984,FXRCHNM,16158.4,2.66
12/31/1984,FXRCHNM,17366,2.42
01/31/1985,FXRCHNM,15801.9,2.21
02/28/1985,FXRCHNM,15507.2,2.16
03/31/1985,FXRCHNM,14375.9,2.01
04/30/1985,FXRCHNM,14033.8,1.96
05/31/1985,FXRCHNM,14161.9,1.98
06/30/1985,FXRCHNM,14298.5,2
07/31/1985,FXRCHNM,12715.8,1.77
08/31/1985,FXRCHNM,12224.2,1.71
09/30/1985,FXRCHNM,13366,1.87
10/31/1985,FXRCHNM,13008.9,1.82
11/30/1985,FXRCHNM,13562.1,1.89
12/31/1985,FXRCHNM,12728.1,1.45
01/31/1986,FXRCHNM,11970.6,1.36
02/28/1986,FXRCHNM,12005.6,1.37
03/31/1986,FXRCHNM,11199.5,1.27
04/30/1986,FXRCHNM,11816.7,1.34
05/31/1986,FXRCHNM,11795,1.34
06/30/1986,FXRCHNM,11362,1.29
07/31/1986,FXRCHNM,11475.8,1.31
08/31/1986,FXRCHNM,11447.3,1.3
09/30/1986,FXRCHNM,11295.2,1.28
10/31/1986,FXRCHNM,10900.8,1.24
11/30/1986,FXRCHNM,11413.1,1.3
12/31/1986,FXRCHNM,11453,1.13
01/31/1987,FXRCHNM,10867.1,1.07
02/28/1987,FXRCHNM,11170.1,1.1
03/31/1987,FXRCHNM,11784.5,1.16
04/30/1987,FXRCHNM,12487.2,1.23
05/31/1987,FXRCHNM,12907.9,1.27
06/30/1987,FXRCHNM,13550.8,1.34
07/31/1987,FXRCHNM,13142.6,1.3
08/31/1987,FXRCHNM,14348.2,1.42
09/30/1987,FXRCHNM,14948.9,1.48
10/31/1987,FXRCHNM,16196.3,1.6
11/30/1987,FXRCHNM,16664.1,1.64
12/31/1987,FXRCHNM,16304.9,1.38
01/31/1988,FXRCHNM,16709.6,1.42
02/29/1988,FXRCHNM,17406.5,1.48
03/31/1988,FXRCHNM,18148.2,1.54
04/30/1988,FXRCHNM,18569.8,1.58
05/31/1988,FXRCHNM,18814.9,1.6
06/30/1988,FXRCHNM,19143.2,1.62
07/31/1988,FXRCHNM,19053.7,1.62
08/31/1988,FXRCHNM,19006.7,1.61
09/30/1988,FXRCHNM,18970.4,1.61
10/31/1988,FXRCHNM,19036.6,1.62
11/30/1988,FXRCHNM,19520.6,1.66
12/31/1988,FXRCHNM,18541.3,1.26
01/31/1989,FXRCHNM,18282.7,1.24
02/28/1989,FXRCHNM,18889.5,1.28
03/31/1989,FXRCHNM,18637.4,1.27
04/30/1989,FXRCHNM,19103.5,1.3
05/31/1989,FXRCHNM,18469.7,1.26
06/30/1989,FXRCHNM,15092.7,1.03
07/31/1989,FXRCHNM,14521.6,0.99
08/31/1989,FXRCHNM,14482.8,0.98
09/30/1989,FXRCHNM,15107.8,1.03
10/31/1989,FXRCHNM,15952.3,1.08
11/30/1989,FXRCHNM,16416,1.12
12/31/1989,FXRCHNM,17959.9,1.09
01/31/1990,FXRCHNM,18914.21,1.15
02/28/1990,FXRCHNM,19991.27,1.21
03/31/1990,FXRCHNM,22356.17,1.36
04/30/1990,FXRCHNM,24205.13,1.47
05/31/1990,FXRCHNM,25345.42,1.54
06/30/1990,FXRCHNM,24461.09,1.49
07/31/1990,FXRCHNM,25552.2,1.55
08/31/1990,FXRCHNM,26221.72,1.59
09/30/1990,FXRCHNM,26945.45,1.64
10/31/1990,FXRCHNM,26766.77,1.63
11/30/1990,FXRCHNM,27081.96,1.64
12/31/1990,FXRCHNM,29697.81,1.62
01/31/1991,FXRCHNM,30850.15,1.68
02/28/1991,FXRCHNM,32470.25,1.77
